
> replica@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://100.104.119.53:3000
- Environments: .env.local
✓ Ready in 657ms

 GET /facturacion 200 in 1470ms (next.js: 208ms, proxy.ts: 382ms, application-code: 880ms)
 GET /api/auth/session 200 in 1229ms (next.js: 1139ms, proxy.ts: 25ms, application-code: 66ms)
 GET /api/auth/session 200 in 65ms (next.js: 28ms, proxy.ts: 11ms, application-code: 26ms)
 GET / 200 in 703ms (next.js: 100ms, proxy.ts: 14ms, application-code: 589ms)
 GET /api/auth/session 200 in 58ms (next.js: 31ms, proxy.ts: 11ms, application-code: 16ms)
 GET /api/auth/session 200 in 30ms (next.js: 10ms, proxy.ts: 9ms, application-code: 11ms)
 GET /login 200 in 268ms (next.js: 60ms, proxy.ts: 13ms, application-code: 196ms)
 GET /api/auth/session 200 in 64ms (next.js: 42ms, proxy.ts: 10ms, application-code: 12ms)
 GET /api/auth/session 200 in 36ms (next.js: 18ms, proxy.ts: 9ms, application-code: 10ms)
 GET /registro 200 in 314ms (next.js: 76ms, proxy.ts: 8ms, application-code: 230ms)
 GET /api/auth/session 200 in 46ms (next.js: 26ms, proxy.ts: 9ms, application-code: 11ms)
 GET /api/auth/session 200 in 32ms (next.js: 11ms, proxy.ts: 9ms, application-code: 11ms)
 GET /legal 200 in 284ms (next.js: 67ms, proxy.ts: 8ms, application-code: 208ms)
 GET /api/auth/session 200 in 44ms (next.js: 22ms, proxy.ts: 7ms, application-code: 15ms)
 GET /api/auth/session 200 in 33ms (next.js: 12ms, proxy.ts: 9ms, application-code: 12ms)
 GET /facturacion 307 in 233ms (next.js: 7ms, proxy.ts: 8ms, application-code: 219ms)
 GET /login 200 in 154ms (next.js: 8ms, proxy.ts: 12ms, application-code: 134ms)
 GET /api/auth/session 200 in 39ms (next.js: 23ms, proxy.ts: 8ms, application-code: 8ms)
 GET /api/auth/session 200 in 28ms (next.js: 12ms, proxy.ts: 8ms, application-code: 8ms)
 GET /settings 307 in 297ms (next.js: 60ms, proxy.ts: 10ms, application-code: 227ms)
 GET /login 200 in 152ms (next.js: 8ms, proxy.ts: 11ms, application-code: 133ms)
 GET /api/auth/session 200 in 44ms (next.js: 25ms, proxy.ts: 9ms, application-code: 11ms)
 GET /api/auth/session 200 in 31ms (next.js: 10ms, proxy.ts: 10ms, application-code: 10ms)
 GET /configuracion 307 in 326ms (next.js: 60ms, proxy.ts: 12ms, application-code: 254ms)
 GET /login 200 in 163ms (next.js: 8ms, proxy.ts: 11ms, application-code: 144ms)
 GET /api/auth/session 200 in 42ms (next.js: 24ms, proxy.ts: 8ms, application-code: 11ms)
 GET /api/auth/session 200 in 31ms (next.js: 12ms, proxy.ts: 10ms, application-code: 8ms)
 GET /inbox 307 in 289ms (next.js: 59ms, proxy.ts: 9ms, application-code: 222ms)
 GET /login 200 in 141ms (next.js: 8ms, proxy.ts: 9ms, application-code: 125ms)
 GET /api/auth/session 200 in 44ms (next.js: 22ms, proxy.ts: 15ms, application-code: 8ms)
 GET /api/auth/session 200 in 30ms (next.js: 13ms, proxy.ts: 8ms, application-code: 9ms)
 GET /admin/tenants 307 in 325ms (next.js: 79ms, proxy.ts: 9ms, application-code: 237ms)
 GET /login 200 in 148ms (next.js: 8ms, proxy.ts: 9ms, application-code: 131ms)
 GET /api/auth/session 200 in 40ms (next.js: 23ms, proxy.ts: 9ms, application-code: 8ms)
 GET /api/auth/session 200 in 31ms (next.js: 13ms, proxy.ts: 9ms, application-code: 9ms)
 GET /api/auth/session 200 in 82ms (next.js: 44ms, proxy.ts: 9ms, application-code: 29ms)
 GET /api/auth/session 200 in 40ms (next.js: 12ms, proxy.ts: 8ms, application-code: 19ms)
 GET /configuracion 200 in 72ms (next.js: 10ms, proxy.ts: 12ms, application-code: 50ms)
 GET /settings 200 in 50ms (next.js: 7ms, proxy.ts: 8ms, application-code: 34ms)
 GET / 200 in 156ms (next.js: 6ms, proxy.ts: 8ms, application-code: 143ms)
 GET /api/auth/session 200 in 51ms (next.js: 20ms, proxy.ts: 8ms, application-code: 23ms)
 GET /api/auth/session 200 in 34ms (next.js: 9ms, proxy.ts: 9ms, application-code: 15ms)
 GET /admin/resumen 200 in 190ms (next.js: 75ms, proxy.ts: 7ms, application-code: 108ms)
 GET /resumen 200 in 160ms (next.js: 64ms, proxy.ts: 9ms, application-code: 87ms)
 GET /api/auth/csrf 200 in 44ms (next.js: 22ms, proxy.ts: 8ms, application-code: 13ms)
 POST /api/auth/signout 200 in 39ms (next.js: 9ms, proxy.ts: 11ms, application-code: 18ms)
 GET /api/auth/session 200 in 26ms (next.js: 9ms, proxy.ts: 9ms, application-code: 8ms)
 GET /login 200 in 84ms (next.js: 7ms, proxy.ts: 10ms, application-code: 66ms)
 GET /login 200 in 199ms (next.js: 19ms, proxy.ts: 15ms, application-code: 164ms)
 GET /resumen 200 in 182ms (next.js: 11ms, proxy.ts: 98ms, application-code: 73ms)
 GET /api/auth/providers 200 in 51ms (next.js: 26ms, proxy.ts: 10ms, application-code: 14ms)
 GET /api/auth/csrf 200 in 32ms (next.js: 12ms, proxy.ts: 9ms, application-code: 11ms)
 POST /api/auth/signin/google? 200 in 166ms (next.js: 14ms, proxy.ts: 11ms, application-code: 140ms)
 GET /api/auth/providers 200 in 32ms (next.js: 11ms, proxy.ts: 10ms, application-code: 10ms)
 GET /api/auth/csrf 200 in 32ms (next.js: 11ms, proxy.ts: 9ms, application-code: 11ms)
 POST /api/auth/signin/google? 200 in 75ms (next.js: 12ms, proxy.ts: 11ms, application-code: 52ms)
 GET /login 200 in 83ms (next.js: 5ms, proxy.ts: 8ms, application-code: 70ms)
 GET /api/auth/session 200 in 42ms (next.js: 23ms, proxy.ts: 8ms, application-code: 11ms)
 GET /api/auth/session 200 in 38ms (next.js: 15ms, proxy.ts: 10ms, application-code: 13ms)
 GET /api/auth/providers 200 in 43ms (next.js: 11ms, proxy.ts: 13ms, application-code: 19ms)
 GET /login 200 in 161ms (next.js: 7ms, proxy.ts: 9ms, application-code: 144ms)
 GET /api/auth/session 200 in 44ms (next.js: 22ms, proxy.ts: 9ms, application-code: 13ms)
 GET /api/auth/session 200 in 31ms (next.js: 11ms, proxy.ts: 10ms, application-code: 10ms)
 GET /api/auth/providers 200 in 30ms (next.js: 12ms, proxy.ts: 8ms, application-code: 11ms)
 GET /api/auth/csrf 200 in 28ms (next.js: 10ms, proxy.ts: 8ms, application-code: 10ms)
 POST /api/auth/callback/credentials? 200 in 478ms (next.js: 11ms, proxy.ts: 9ms, application-code: 458ms)
 GET /api/auth/session 200 in 51ms (next.js: 23ms, proxy.ts: 10ms, application-code: 18ms)
 GET /api/auth/session 200 in 38ms (next.js: 11ms, proxy.ts: 9ms, application-code: 18ms)
 GET /api/auth/session 200 in 167ms (next.js: 73ms, proxy.ts: 16ms, application-code: 78ms)
 GET /admin/resumen 200 in 179ms (next.js: 11ms, proxy.ts: 16ms, application-code: 152ms)
 GET /api/auth/session 200 in 48ms (next.js: 21ms, proxy.ts: 9ms, application-code: 19ms)
 GET /login?email=admin%40myownclone.com&password=Admin123%21local 200 in 97ms (next.js: 6ms, proxy.ts: 12ms, application-code: 79ms)
 GET /api/auth/session 200 in 43ms (next.js: 24ms, proxy.ts: 8ms, application-code: 10ms)
 GET /api/auth/session 200 in 26ms (next.js: 9ms, proxy.ts: 7ms, application-code: 9ms)
 GET /login?email=admin%40myownclone.com&password=Admin123%21local 200 in 96ms (next.js: 8ms, proxy.ts: 10ms, application-code: 79ms)
 GET /api/auth/session 200 in 47ms (next.js: 24ms, proxy.ts: 11ms, application-code: 12ms)
